Unnamed: 0,brand_name,watch_name,rating,number_of_reviews,price
0,Casio,Vintage A-158WA-1Q Digital Grey Dial Unisex Watch Silver Metal Strap (D011),4.4,54000.0,1894.0
1,Casio,Youth Series Digital Black Dial Unisex Watch - F-91W-1Q(D002),4.5,13200.0,1191.0
2,Titan,Karishma Analog Black Dial Men's Watch -NM1639SM02 / NL1639SM02,4.3,2900.0,1695.0
3,Daniel Hechter,Paris Bercy Collection Modern Multi Functional Watch for Men with Square Dial and Silicon Band-DHM1001,4.3,890.0,2593.0
4,Casio,Unisex-Adult Vintage B650WC-5ADF Rose Gold Digital Dial Rose Gold Stainless Steel Band D200,4.5,1100.0,4494.0
5,Fastrack,Tees Analog Grey Dial Unisex-Adult Watch-68011PP08,4.3,2300.0,706.0
6,TIMEX,Classics Analog Watch for Men with Round Dial & Water Resistant Man's Wrist Watches,4.1,23900.0,1099.0
7,Casio,Casio Enticer Analog Black Dial Men's Watch - MTP-1374D-1AVDF (A832),4.4,7200.0,4796.0
8,Titan,Neo Analog Blue Dial Men's Watch - NN1733KL03/NP1733KL03,4.3,1300.0,4795.0
9,Carlington,"Endurance Series Analog-Digital Sports Watches for Men and Boys with Alarm, Stopwatch, Backlit Display, Dualtime, Silicone Rubber Strap, Water & Shock Resiatant - CT_9105",4.1,3000.0,999.0
10,Titan,Titan Neo Splash Quartz Multifunction Black Dial Metallic Brown Stainless Steel Strap Watch for Men - NT1805QM04,4.3,1000.0,4365.0
11,Fossil,Grant Sport Blue Watch FS5237,4.4,1300.0,7790.0
12,Titan,Titan Minimalist Quartz Analog with Date Black Dial Black Metal Strap Watch For Men - NT1806NM01,4.3,754.0,2547.0
13,Casio,Unisex Vintage A159W-N1DF Black Digital Dial Silver Stainless Steel Band D339,4.5,329.0,1994.0
14,Fastrack,Analog Unisex-Adult Watch,4.1,15200.0,850.0
15,Matrix,"Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.8,1900.0,273.0
16,Titan,Titan Maritime Pro Quartz Chronograph Lateen Sail Green Dial Brown Leather Strap Watch for Men - NT1830KL02,4.4,448.0,13721.0
17,Daniel Hechter,Paris Rivoli Collection Modern Analog Watch for Men with Octagon Dial and Silicon Band-DHM1003,4.3,428.0,1978.0
18,Fastrack,Fastrack Stunners Quartz Analog Blue Dial Silver Metal Strap Watch for Guys - 3278SM03,4.4,249.0,1195.0
19,Fossil,"Decker Brown Watch Ch2885 - Chronograph, Men, Leather",4.2,2100.0,7194.0
20,Titan,Titan Karishma Quartz Analog With Date Blue Dial Two Toned Silver & Rose Gold Stainless Steel Strap Watch for Men - NT1825KM01,4.3,1300.0,3035.0
21,Fossil,"Fossil Leather Chronograph Black Dial Men's Watch-Ch2891, Band Color:Brown",4.2,17200.0,8446.0
22,Titan,Karishma Analog Multi-Colour Dial Men's Watch -NM1639SM01 / NL1639SM01,4.4,1400.0,1695.0
23,Fossil,Fossil Stainless Steel Fenmore Analog Black Dial Men's Watch-Bq2365,4.2,327.0,7248.0
24,Titan,Titan Bandhan Quartz Analog with Date White Dial Two Toned Silver and Rose Gold Stainless Steel Strap Watch For Couple - NT17752481KM01,4.4,251.0,7822.0
25,Titan,Bandhan Quartz Analog Silver Dial Two Toned Silver and Rose Gold Stainless Steel Strap Watch for Couple - NT17732603KM01,4.3,150.0,6038.0
26,Titan,Titan Workwear Quartz Multifunction Black Dial Black Metal Strap Watch For Men - NT1805NM02,4.3,397.0,5806.0
27,Casio,Unisex Vintage A168WA-1WDF Black Digital Dial Silver Stainless Steel Band D131,4.5,4300.0,2156.0
28,AMERICANVIBER,"Modern Analog Watch, Silver and Black Two-Tone Stainless Steel Band, Octagonal Case, White Dial for Men",4.0,159.0,419.0
29,Casio,Casio Enticer Analog Blue Dial Men's Watch-MTP-VD01D-2EVUDF (A1364),4.4,15800.0,2994.0
30,TIMEX,Men's Expedition Metal Field 40mm Watch,4.3,2400.0,3496.0
31,Sonata,Analog White Dial Men's Watch NM7954YM01W/NN7954YM01W,4.2,2800.0,1498.0
32,Titan,Titan Men's Classic Watch: Gradient Dial & Sleek Markings with Leather Strap-NS1802SL13,4.5,380.0,2306.0
33,Casio,Casio Enticer Men Analog Green Dial Men MTP-1302PD-3AVEF (A2262),4.5,10800.0,3196.0
